ID,Food Name,Kcal,Protein,Carbohydrate,Fiber,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat
747434,"Beans, Dry, Tan (0% moisture)",126.26,26.8,0.0,4.4,1.14,0.0,0.0,0.0,0.0
747435,"Beans, Dry, Light Tan (0% moisture)",118.52,24.6,0.0,4.3,1.28,0.0,0.0,0.0,0.0
747436,"Beans, Dry, Carioca (0% moisture)",122.75999999999999,25.2,0.0,4.5,1.44,0.0,0.0,0.0,0.0
747437,"Beans, Dry, Cranberry (0% moisture)",117.26999999999998,24.4,0.0,4.3,1.23,0.0,0.0,0.0,0.0
747438,"Beans, Dry, Light Red Kidney (0% moisture)",118.27,25.0,0.0,4.5,1.03,0.0,0.0,0.0,0.0
747439,"Beans, Dry, Pink (0% moisture)",112.6,23.4,0.0,4.1,1.2,0.0,0.0,0.0,0.0
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",123.99,25.9,0.0,4.3,1.31,0.0,0.0,0.0,0.0
747441,"Beans, Dry, Navy (0% moisture)",118.59,24.1,0.0,4.3,1.51,0.0,0.0,0.0,0.0
747442,"Beans, Dry, Small White (0% moisture)",118.47999999999999,24.5,0.0,4.3,1.32,0.0,0.0,0.0,0.0
747443,"Beans, Dry, Small Red (0% moisture)",113.72,23.5,0.0,4.1,1.28,0.0,0.0,0.0,0.0
747444,"Beans, Dry, Black (0% moisture)",119.05,24.4,0.0,4.2,1.45,0.0,0.0,0.0,0.0
747445,"Beans, Dry, Pinto (0% moisture)",114.16,23.7,0.0,4.1,1.24,0.0,0.0,0.0,0.0
747446,"Beans, Dry, Great Northern (0% moisture)",118.55999999999999,24.7,0.0,4.3,1.24,0.0,0.0,0.0,0.0
747447,"Broccoli, raw",31.0,2.57,6.27,2.4,0.34,0.039,0.011,0.017,0.0
747693,"Ketchup, restaurant",117.0,1.11,26.8,0.0,0.55,0.0,0.0,0.0,0.0
747997,"Eggs, Grade A, Large, egg white",55.0,10.7,2.36,0.0,0.0,0.0,0.0,0.0,0.0
748236,"Eggs, Grade A, Large, egg yolk",334.0,16.2,1.02,0.0,28.8,0.0,0.0,0.0,0.0
748278,"Oil, canola",850.59,0.0,0.0,0.0,94.51,6.61,62.6,25.3,0.0
748323,"Oil, corn",846.0,0.0,0.0,0.0,94.0,13.4,27.7,52.9,0.0
748366,"Oil, soybean",851.4,0.0,0.0,0.0,94.6,14.9,22.1,57.6,0.0
748608,"Oil, olive, extra virgin",843.0300000000002,0.0,0.0,0.0,93.67000000000002,15.4,69.2,9.07,0.0
748967,"Eggs, Grade A, Large, egg whole",148.0,12.4,0.96,0.0,9.96,3.2,3.63,1.82,0.0
749420,"Pork, cured, bacon, cooked, restaurant",500.0,40.9,2.1,0.0,36.5,12.6,15.8,6.0,0.15
789828,"Butter, stick, unsalted",733.5,0.0,0.0,0.0,81.5,0.0,0.0,0.0,0.0
789890,"Flour, wheat, all-purpose, enriched, bleached",366.0,10.9,77.3,0.0,1.48,0.0,0.0,0.0,0.0
789951,"Flour, wheat, all-purpose, enriched, unbleached",358.0,13.1,73.2,0.0,1.48,0.0,0.0,0.0,0.0
790018,"Flour, wheat, all-purpose, unenriched, unbleached",362.0,12.0,74.6,3.0,1.7,0.0,0.0,0.0,0.0
790085,"Flour, whole wheat, unenriched",370.0,15.1,71.2,10.6,2.73,0.0,0.0,0.0,0.0
790146,"Flour, bread, white, enriched, unbleached",363.0,14.3,72.8,0.0,1.65,0.0,0.0,0.0,0.0
790214,"Flour, rice, white, unenriched",359.0,6.94,79.8,0.5,1.3,0.0,0.0,0.0,0.0
790276,"Flour, corn, yellow, fine meal, enriched",364.0,6.2,80.8,4.3,1.74,0.0,0.0,0.0,0.0
790508,"Butter, stick, salted",739.8000000000001,0.0,0.0,0.0,82.2,45.6,16.9,2.52,0.0
790577,"Onions, red, raw",44.0,0.94,9.93,2.2,0.1,0.0,0.0,0.0,0.0
790646,"Onions, yellow, raw",38.0,0.83,8.61,1.9,0.05,0.0,0.0,0.0,0.0
1104647,"Garlic, raw",143.0,6.62,28.2,2.7,0.38,0.0,0.0,0.0,0.0
1104705,"Flour, soy, defatted",366.0,51.1,32.9,0.0,3.33,0.0,0.0,0.0,0.0
1104766,"Flour, soy, full-fat",452.0,38.6,27.9,0.0,20.7,0.0,0.0,0.0,0.0
1104812,"Flour, rice, brown",365.0,7.19,75.5,0.0,3.85,0.0,0.0,0.0,0.0
1104867,"Flour, rice, glutinous",358.0,6.69,80.1,0.0,1.16,0.0,0.0,0.0,0.0
1104913,"Flour, pastry, unenriched, unbleached",358.0,8.75,77.2,0.0,1.64,0.0,0.0,0.0,0.0
1104962,"Onions, white, raw",35.0,0.89,7.68,1.2,0.13,0.0,0.0,0.0,0.0
1105073,"Bananas, overripe, raw",85.0,0.73,20.1,1.7,0.22,0.0,0.0,0.0,0.0
1105314,"Bananas, ripe and slightly ripe, raw",97.0,0.74,23.0,1.7,0.29,0.0,0.0,0.0,0.0
1750339,"Apples, red delicious, with skin, raw",65.94000000000001,0.188,14.8,2.04,0.212,0.0,0.0,0.0,0.0
1750340,"Apples, fuji, with skin, raw",69.00999999999999,0.148,15.7,2.08,0.162,0.0,0.0,0.0,0.0
1750341,"Apples, gala, with skin, raw",65.30199999999999,0.133,14.8,2.11,0.15,0.0,0.0,0.0,0.0
1750342,"Apples, granny smith, with skin, raw",63.72599999999999,0.266,14.1,2.51,0.138,0.0,0.0,0.0,0.0
1750343,"Apples, honeycrisp, with skin, raw",63.547999999999995,0.102,14.7,1.72,0.1,0.0,0.0,0.0,0.0
1750348,"Oil, peanut",840.3479999999998,0.0,0.0,0.0,93.37199999999999,16.2,57.1,19.9,0.172
1750349,"Oil, sunflower",838.854,0.0,0.0,0.0,93.206,8.99,63.4,20.7,0.116
1750350,"Oil, safflower",838.611,0.0,0.0,0.0,93.179,7.65,71.6,13.8,0.129
1750351,"Oil, olive, extra light",836.2439999999999,0.0,0.0,0.0,92.916,15.8,66.6,10.4,0.116
1999626,"Mushroom, lion's mane",51.424,2.5,7.59,4.38,0.256,0.0,0.0,0.0,0.0
1999627,"Mushroom, oyster",46.752,2.9,6.94,2.85,0.188,0.0,0.0,0.0,0.0
1999628,"Mushrooms, shiitake",52.415,2.41,8.17,4.17,0.195,0.0,0.0,0.0,0.0
1999629,"Mushrooms, white button",34.659000000000006,2.89,4.08,1.72,0.371,0.0,0.0,0.0,0.0
1999630,"Soy milk, unsweetened, plain, shelf stable",38.44,3.55,1.29,0.0,2.12,0.314,0.416,1.15,0.0
